time,hr_bpm,hr_conf,rr_ms,rr_conf,spo2_pct,spo2_valid,skin_contact
05:03:21.956,69,100,0,0,0,0,3
05:03:21.956,69,100,0,0,0,0,3
05:03:21.956,69,100,0,0,0,0,3
05:03:22.103,69,100,0,0,0,0,3
05:03:22.103,69,100,0,0,0,0,3
05:03:22.103,69,100,0,0,0,0,3
05:03:22.200,69,100,0,0,0,0,3
05:03:22.200,69,100,0,0,0,0,3
05:03:22.200,69,100,0,0,0,0,3
05:03:22.346,69,100,0,0,0,0,3
05:03:22.346,69,100,0,0,0,0,3
05:03:22.346,69,100,0,0,0,0,3
05:03:22.443,69,100,0,0,0,0,3
05:03:22.443,69,100,0,0,0,0,3
05:03:22.443,69,100,0,0,0,0,3
05:03:22.590,69,100,0,0,0,0,3
05:03:22.590,69,100,0,0,0,0,3
05:03:22.590,69,100,896,100,0,0,3
05:03:22.688,69,100,0,0,0,0,3
05:03:22.688,69,100,0,0,0,0,3
05:03:22.688,69,100,0,0,0,0,3
05:03:22.834,69,100,0,0,0,0,3
05:03:22.834,69,100,0,0,0,0,3
05:03:22.834,69,100,0,0,0,0,3
05:03:22.932,69,100,0,0,0,0,3
05:03:22.932,69,100,0,0,0,0,3
05:03:22.932,69,100,0,0,0,0,3
05:03:23.029,69,100,0,0,0,0,3
05:03:23.029,69,100,0,0,0,0,3
05:03:23.029,69,100,0,0,0,0,3
05:03:23.126,68,100,0,0,0,0,3
05:03:23.126,68,100,0,0,0,0,3
05:03:23.272,68,100,0,0,0,0,3
05:03:23.272,68,100,0,0,0,0,3
05:03:23.272,68,100,0,0,0,0,3
05:03:23.370,68,100,0,0,0,0,3
05:03:23.370,68,100,0,0,0,0,3
05:03:23.370,68,100,0,0,0,0,3
05:03:23.516,68,100,0,0,0,0,3
05:03:23.516,68,100,0,0,0,0,3
05:03:23.516,68,100,918,100,0,0,3
05:03:23.614,68,100,0,0,0,0,3
05:03:23.614,68,100,0,0,0,0,3
05:03:23.614,68,100,0,0,0,0,3
05:03:23.760,68,100,0,0,0,0,3
05:03:23.760,68,100,0,0,0,0,3
05:03:23.760,68,100,0,0,0,0,3
05:03:23.857,68,100,0,0,0,0,3
05:03:23.857,68,100,0,0,0,0,3
05:03:23.857,68,100,0,0,0,0,3
05:03:24.003,68,100,0,0,0,0,3
05:03:24.003,68,100,0,0,0,0,3
05:03:24.003,68,100,0,0,0,0,3
05:03:24.101,68,100,0,0,0,0,3
05:03:24.101,68,100,0,0,0,0,3
05:03:24.101,68,100,0,0,0,0,3
05:03:24.200,68,100,0,0,0,0,3
05:03:24.200,68,100,0,0,0,0,3
05:03:24.200,68,100,0,0,0,0,3
05:03:24.393,68,100,0,0,0,0,3
05:03:24.393,68,100,0,0,0,0,3
05:03:24.393,68,100,0,0,0,0,3
05:03:24.444,68,100,0,0,0,0,3
05:03:24.444,68,100,906,100,0,0,3
05:03:24.540,68,100,0,0,0,0,3
05:03:24.540,68,100,0,0,0,0,3
05:03:24.540,68,100,0,0,0,0,3
05:03:24.686,68,100,0,0,0,0,3
05:03:24.686,68,100,0,0,0,0,3
05:03:24.686,68,100,0,0,0,0,3
05:03:24.784,68,100,0,0,0,0,3
05:03:24.784,68,100,0,0,0,0,3
05:03:24.784,68,100,0,0,0,0,3
05:03:24.881,68,100,0,0,0,0,3
05:03:24.881,68,100,0,0,0,0,3
05:03:24.881,68,100,0,0,0,0,3
05:03:25.028,68,100,0,0,0,0,3
05:03:25.028,68,100,0,0,0,0,3
05:03:25.028,68,100,0,0,0,0,3
05:03:25.125,68,100,0,0,0,0,3
05:03:25.125,68,100,0,0,0,0,3
05:03:25.125,68,100,0,0,0,0,3
05:03:25.271,68,100,0,0,0,0,3
05:03:25.271,68,100,0,0,0,0,3
05:03:25.271,68,100,0,0,0,0,3
05:03:25.369,68,100,0,0,0,0,3
05:03:25.369,68,100,898,100,0,0,3
05:03:25.369,68,100,0,0,0,0,3
05:03:25.515,68,100,0,0,0,0,3
05:03:25.515,68,100,0,0,0,0,3
05:03:25.515,68,100,0,0,0,0,3
05:03:25.613,68,100,0,0,0,0,3
05:03:25.613,68,100,0,0,0,0,3
05:03:25.613,68,100,0,0,0,0,3
05:03:25.759,68,100,0,0,0,0,3
05:03:25.759,68,100,0,0,0,0,3
05:03:25.759,68,100,0,0,0,0,3
05:03:25.809,68,100,0,0,0,0,3
05:03:25.809,68,100,0,0,0,0,3
05:03:25.954,68,100,0,0,0,0,3
05:03:25.954,68,100,0,0,0,0,3
05:03:25.954,68,100,0,0,0,0,3
